OBJECTID *;species;bg;en;EURING;Code
297;Locustella lanceolata;;;12350;
298;Locustella luscinioides;Тръстиков цвъркач;Savi's Warbler;12380;
299;Locustella naevia;Полски цвъркач;Common Grasshopper Warbler;12360;
300;Loxia curvirostra;Обикновена кръсточовка;Crossbill;16660;
301;Loxia leucoptera;Белокрила кръсточовка;Two-barred Crossbill;16650;
302;Loxia pytyopsittacus;Дебелоклюна кръсточовка;Parrot Crossbill;16680;
303;Loxia scotica;;;16670;
304;Lullula arborea;Горска чучулига;Woodlark;9740;ГЧ
305;Luscinia calliope;;;11050;
306;Luscinia luscinia;Северен славей;Thrush Nightingale;11030;
307;Luscinia megarhynchos;Южен славей;Nightingale;11040;С
308;Luscinia svecica;Синьогушка;Bluethroat;11060;
309;Lymnocryptes minimus;Малка бикасина;Jack Snipe;5180;
310;Marmaronetta angustirostris;Мраморна патица;Marbled Duck;1950;
311;Melanitta fusca;Кадифена потапница;Velvet Scoter;2150;
312;Melanitta nigra;Траурна потапница;Common Scoter;2130;
313;Melanocorypha bimaculata;;;9620;
314;Melanocorypha calandra;Дебелоклюна чучулига;Calandra Lark;9610;ДЕЧ
315;Melanocorypha leucoptera;Белокрила чучулига;White-winged Lark;9650;
316;Melanocorypha yeltoniensis;Черна чучулига;Black Lark;9660;
317;Meleagris gallopavo;;;3990;
318;Mergus albellus;Малък нирец;Smew ;2200;
319;Mergus cucullatus;;;2190;
320;Mergus merganser;Голям нирец;Common Merganser;2230;
321;Mergus serrator;Среден нирец;Red-breasted Merganser;2210;
322;Merops apiaster;Обикновен пчелояд;Bee-eater;8400;П
323;Merops superciliosus;Зелен пчелояд;;8390;
324;Miliaria calandra;Сива овесарка;Corn Bunting;18820;СО
325;Milvus migrans;Черна каня;Black Kite;2380;
326;Milvus milvus;Червена каня;Red Kite;2390;
327;Monticola saxatilis;Пъстър скален дрозд;Rock Thrush;11620;
328;Monticola solitarius;Син скален дрозд;Blue Rock Thrush;11660;
329;Montifringilla nivalis;Снежно врабче;White-winged Snowfi nch;16110;
330;Motacilla alba;Бяла стърчиопашка;Pied Wagtail;10200;БС
331;Motacilla cinerea;Планинска стърчиопашка;Grey Wagtail;10190;ПС
332;Motacilla citreola;Жълтоглава стърчиопашка;Citrine Wagtail;10180;
333;Motacilla flava;Жълта стърчиопашка;Yellow Wagtail;10170;ЖС
334;Muscicapa striata;Сива мухоловка;Spotted Flycatcher;13350;СМ
335;Myiopsitta monachus;;;20390;
336;Neophron percnopterus;Египетски лешояд;Egyptian Vulture;2470;
337;Netta rufina;Червеноклюна потапница;Red-crested Pochard;1960;
338;Nucifraga caryocatactes;Сокерица;Nutcracker;15570;
339;Numenius arquata;Голям свирец;Eurasian Curlew;5410;
340;Numenius phaeopus;Малък свирец;Whimbrel;5380;
341;Numenius tenuirostris;Тънкоклюн свирец;;5400;
342;Nyctea scandiaca;;;7490;
343;Nycticorax nycticorax;Нощна чапла;Night Heron;1040;
344;Oceanodroma castro;;;580;
345;Oceanodroma leucorhoa;;;550;
346;Oenanthe deserti;;;11490;
347;Oenanthe finschii;;;11500;
348;Oenanthe hispanica;Испанско каменарче;Black-eared Wheatear;11480;ИКА
349;Oenanthe isabellina;Ориенталско каменарче;Isabelline Wheatear;11440;ИЗК
350;Oenanthe leucopyga;;;11570;
351;Oenanthe leucura;;;11580;
352;Oenanthe oenanthe;Сиво каменарче;Wheatear;11460;СКА
353;Oenanthe pleschanka;Черногърбо каменарче;Pied Wheatear;11470;ЧЕК
354;Oenanthe xanthoprymna;;;11520;
355;Oriolus oriolus;Авлига;Golden Oriole;15080;А
356;Otis tarda;Голяма дропла;Great Bustard;4460;
357;Otus brucei;;;7380;
358;Otus scops;Чухал;Scops Owl;7390;ЧУ
359;Oxyura jamaicensis;;;2250;
360;Oxyura leucocephala;Тръноопашата потапница;White-headed Duck;2260;
361;Pagophila eburnea;;;6040;
362;Pandion haliaetus;Орел рибар;Osprey;3010;
363;Panurus biarmicus;Мустакато тръстикарче;Bearded Reedling;13640;
364;Parus ater;Черен синигер;Coal Tit;14610;
365;Parus caeruleus;Син синигер;Blue Tit;14620;СС
366;Parus cinctus;;;14480;
367;Parus cristatus;Качулат синигер;Crested Tit;14540;
368;Parus cyanus;;;14630;
369;Parus lugubris;Жалобен синигер;Sombre Tit;14410;ЖСИ
370;Parus major;Голям синигер;Great Tit;14640;ГС
371;Parus montanus;Матовоглав синигер;Willow Tit;14420;МС
372;Parus palustris;Лъскавоглав синигер;Marsh Tit;14400;ЛС
373;Passer domesticus;Домашно врабче;House Sparrow;15910;ДВ
374;Passer hispaniolensis;Испанско врабче;Spanish Sparrow;15920;ИВ
375;Passer moabiticus;;;15950;
376;Passer montanus;Полско врабче;Tree Sparrow;15980;ПВР
377;Pelagodroma marina;;;510;
378;Pelecanus crispus;Къдроглав пеликан;Dalmatian Pelican;890;
379;Pelecanus onocrotalus;Розов пеликан;White Pelican;880;
380;Perdix hodgsoniae;;;3690;
381;Perdix perdix;Яребица;Partridge;3670;Я
382;Perisoreus infaustus;;;15430;
383;Pernis apivorus;Осояд;Honey Buzzard;2310;О
384;Petronia petronia;Скално врабче;Rock Sparrow;16040;
385;Petronia xanthocollis;;;16020;
386;Phalacrocorax aristotelis;Качулат корморан;European Shag;800;
387;Phalacrocorax carbo;Голям корморан;Great Cormorant;720;ГК
388;Phalaropus lobatus;Тънкоклюн листоног;Red-necked Phalarope;5640;
389;Phalaropus tricolor;;;5630;
390;Phasianus colchicus;Фазан;Pheasant;3940;Ф
391;Philomachus pugnax;Бойник;Ruff;5170;
392;Phoenicopterus ruber;Розово фламинго;Greater Flamingo;1470;
393;Phoenicurus erythrogaster;;;11280;
394;Phoenicurus ochruros;Домашна червеноопашка;Black Redstart;11210;ДЧ
395;Phoenicurus phoenicurus;Градинска червеноопашка;Redstart;11220;
396;Phylloscopus borealis;Северен певец;Arctic Warbler;12950;
397;Phylloscopus collybita;Елов певец;Chiffchaff;13110;ЕП
398;Phylloscopus inornatus;Жълтовежд певец;Yellow-browed Warbler;13000;
399;Phylloscopus neglectus;;;13090;
400;Phylloscopus nitidus;;;12910;
401;Phylloscopus proregulus;Кралчев певец;Pallas’s Leaf Warbler;12980;
402;Phylloscopus sibilatrix;Буков певец;Wood Warbler;13080;
403;Phylloscopus sindianus;;;13100;
404;Phylloscopus trochiloides;Зеленикав певец;Greenish Warbler;12930;
405;Phylloscopus trochilus;Брезов певец;Willow warbler;13120;
406;Pica pica;Сврака;Magpie;15490;СВР
407;Picus canus;Сив кълвач;Grey-headed Woodpecker;8550;СК
408;Picus viridis;Зелен кълвач;Green Woodpecker;8560;ЗК
409;Pinicola enucleator;;;16990;
410;Platalea leucorodia;Бяла лопатарка;Spoonbill;1440;
411;Plectrophenax nivalis;Сежна овесарка;Snow Bunting;18500;
412;Plegadis falcinellus;Блестящ ибис;Glossy Ibis ;1360;
413;Pluvialis apricaria;Златиста булка;European Golden Plover;4850;
414;Pluvialis squatarola;Сребриста булка;Grey Plover;4860;
415;Podiceps auritus;Ушат гмурец;Horned Grebe;110;
416;Podiceps cristatus;Голям гмурец;Great Crested Grebe;90;ГГЦ
417;Podiceps grisegena;Червеноврат гмурец;Red-necked Grebe;100;
418;Podiceps nigricollis;Черноврат гмурец;Black-necked Grebe;120;
419;Polysticta stelleri;;;2090;
420;Porphyrio porphyrio;;;4270;
421;Porzana parva;Средна пъструшка;Little Crake;4100;
422;Porzana porzana;Голяма пъструшка;Spotted Crake;4080;
423;Porzana pusilla;Малка пъструшка;Baillon’s Crake;4110;
424;Prinia gracilis;;;12270;
425;Prunella atrogularis;;;10900;
426;Prunella collaris;Пъстрогуша завирушка;Alpine Accentor;10940;
427;Prunella modularis;Сивогуша завирушка;Dunnock;10840;
428;Prunella montanella;;;10860;
429;Prunella ocularis;;;10880;
430;Pterocles alchata;;;6620;
431;Pterocles orientalis;;;6610;
432;Pterodroma feae;;;262;
433;Pterodroma madeira;;;263;
434;Pterodroma mollis;;;261;
435;Ptyonoprogne rupestris;Скална лястовица;Crag Martin;9910;
436;Puffinus assimilis;;;480;
437;Puffinus gravis;;;400;
438;Puffinus griseus;;;430;
439;Puffinus puffinus;Обикновен буревестник;;460;
440;Pycnonotus barbatus;;;10370;
441;Pycnonotus xanthopygos;;;10360;
442;Pyrrhocorax graculus;Жълтоклюна гарга;Yellow-billed Chough;15580;
443;Pyrrhocorax pyrrhocorax;Червеноклюна гарга;Alpine Chough;15590;
444;Pyrrhula pyrrhula;Червенушка;Bullfinch;17100;
445;Rallus aquaticus;Воден дърдавец;Water Rail;4070;КЩ
446;Recurvirostra avosetta;Саблеклюн;Avocet;4560;
447;Regulus ignicapillus;Червеноглаво кралче;Firecrest;13150;
448;Regulus regulus;Жълтоглаво кралче;Goldcrest;13140;
449;Remiz pendulinus;Торбогнезден синигер;Penduline Tit;14900;
450;Rhodopechys sanguinea;;;16730;
451;Rhodospiza obsoleta;;;16740;
452;Rhodostethia rosea;;;6010;
453;Riparia riparia;Брегова лястовица;Sand Martin;9810;БЛ
454;Rissa tridactyla;Трипръста чайка;Kittiwake;6020;
455;Saxicola dacotiae;;;11380;
456;Saxicola rubetra;Ръждивогушо ливадарче;Whinchat;11370;РЛИ
457;Saxicola torquata;Черногушо ливадарче;Stonechat;11390;ЧЛИ
458;Scolopax rusticola;Горски бекас;Woodcock;5290;
459;Serinus canaria;;;16420;
460;Serinus citrinella;;;16440;
461;Serinus pusillus;;;16390;
462;Serinus serinus;Диво канарче;Serin;16400;
463;Sitta europaea;Горска зидарка;Wood Nuthatch;14790;ГЗ
464;Sitta krueperi;;;14690;
465;Sitta neumayer;Скална зидарка;Rock Nuthatch;14810;
466;Sitta tephronota;;;14800;
467;Sitta whiteheadi;;;14700;
468;Somateria mollissima;Обикновена гага;Common Eider;2060;
469;Somateria spectabilis;;;2070;
470;Stercorarius longicaudus;Дългоопашат морелетник;Long-tailed Jaeger;5680;
471;Stercorarius parasiticus;Остроопашат морелетник;Parasitic Jaeger;5670;
472;Stercorarius pomarinus;Тъпоопашат морелетник;Pomarine Skua;5660;
473;Stercorarius skua;Голям морелетник;Great Skua;5690;
474;Sterna albifrons;Белочела рибарка;Little Tern;6240;
475;Sterna bengalensis;;;6090;
476;Sterna caspia;Каспийска рибарка;Caspian Tern;6060;
477;Sterna dougallii;;Roseate Tern;6140;
478;Sterna fuscata;;;6230;
479;Sterna hirundo;Речна рибарка;Common Tern;6150;
480;Sterna paradisaea;;;6160;
481;Sterna sandvicensis;Гривеста рибарка;Sandwich Tern;6110;
482;Streptopelia decaocto;Гугутка;Eurasian Collared-dove;6840;ГУ
483;Streptopelia orientalis;;;6890;
484;Streptopelia roseogrisea;;;6830;
485;Streptopelia senegalensis;;;6900;
486;Streptopelia turtur;Гургулица;European Turtle-dove;6870;ГГ
487;Strix aluco;Горска улулица;Tawny Owl;7610;
488;Strix nebulosa;;;7660;
489;Strix uralensis;Уралска улулица;Ural Owl;7650;
490;Sturnus roseus;Розов скорец;Rose-coloured Starling;15840;
491;Sturnus unicolor;;;15830;
492;Sturnus vulgaris;Обикновен скорец;Starling;15820;ОС
493;Surnia ulula;;;7500;
494;Sylvia atricapilla;Голямо черноглаво коприварче;Blackcap;12770;ГЧК
495;Sylvia borin;Градинско коприварче;Garden Warbler;12760;
496;Sylvia cantillans;Червеногушо коприварче;Subalpine Warbler;12650;
497;Sylvia communis;Голямо белогушо коприварче;Whitethroat;12750;ГБК
498;Sylvia conspicillata;;;12640;
499;Sylvia curruca;Малко белогушо коприварче;Lesser Whitethroat;12740;МБК
500;Sylvia hortensis;Орфеево коприварче;Orphean Warbler;12720;ОКО
501;Sylvia melanocephala;Черноглаво коприварче;Sardinian Warbler;12670;
502;Sylvia melanothorax;;;12680;
503;Sylvia mystacea;;;12660;
504;Sylvia nana;Азиатско пустинно коприварче;Asian Desert Warbler;12700;
505;Sylvia nisoria;Ястребогушо коприварче;Barred Warbler;12730;ЯК
506;Sylvia rueppelli;Черногушо коприварче;R?ppell’s Warbler;12690;
507;Sylvia sarda;;;12610;
508;Sylvia undata;;;12620;
509;Syrmaticus reevesii;Царски фазан;Reeves’s Pheasant;3930;
510;Syrrhaptes paradoxus;;;6630;
511;Tachybaptus ruficollis;Малък гмурец;Little Grebe;70;МГ
512;Tadorna ferruginea;Червен ангъч;Ruddy Shelduck;1710;
513;Tadorna tadorna;Бял ангъч;Shelduck;1730;
514;Tarsiger cyanurus;Синьоопашка;Red-fl anked Bluetail;11130;
515;Tetrao mlokosiewiczi;;;3330;
516;Tetrao tetrix;Тетрев;Black Grouse;3320;
517;Tetrao urogallus;Глухар;Western Capercaillie;3350;
518;Tetraogallus caspius;;;3510;
519;Tetraogallus caucasicus;;;3500;
520;Tetrax tetrax;Стрепет;Little Bustard;4420;
521;Tichodroma muraria;Скалолазка;Wallcreeper;14820;
522;Tringa erythropus;Голям червенокрак водобегач;Spotted Redshank;5450;
523;Tringa flavipes;;;5510;
524;Tringa glareola;Малък горски водобегач;Wood Sandpiper;5540;МГВ
525;Tringa nebularia;Голям зеленокрак водобегач;Greenshank ;5480;
526;Tringa ochropus;Голям горски водобегач;Green Sandpiper;5530;
527;Tringa stagnatilis;Малък зеленоног водобегач;Marsh Sandpiper;5470;
528;Tringa totanus;Малък червенокрак водобегач;Common Redshank;5460;
529;Troglodytes troglodytes;Орехче;Wren;10660;ОР
530;Tryngites subruficollis;Ръждивогръд брегобегач;Buff-breasted Sandpiper;5160;
531;Turdus iliacus;Беловежд дрозд;Redwing;12010;
532;Turdus merula;Кос;Blackbird;11870;К
533;Turdus philomelos;Поен дрозд;Song Thrush;12000;ПД
534;Turdus pilaris;Хвойнов дрозд;Fieldfare;11980;
535;Turdus ruficollis;;;11970;
536;Turdus torquatus;Белогуш дрозд;Ring Ouzel;11860;
537;Turdus viscivorus;Имелов дрозд;Mistle Thrush;12020;ИД
538;Turnix sylvatica;;;4000;
539;Tyto alba;Забулена сова;Barn Owl;7350;
540;Upupa epops;Папуняк;Hoopoe;8460;ПА
541;Uria aalge;Тънкоклюна кайра;Common Murre;6340;
542;Uria lomvia;;;6350;
543;Vanellus vanellus;Обикновена калугерица;Lapwing;4930;ОК
544;Xenus cinereus;Пепеляв брегобегач;Terek Sandpiper;5550;
545;Zoothera dauma;;;11700;
546;Zoothera sibirica;;;11710;
547;Aythya sp.;Неопределена потапница;Unidentified diving duck;2059;
548;Cygnus sp.;Неопределен лебед;Unidentified Swan;1559;
549;Larus sp.;Неопределена чайка;Unidentified Gull;6009;
550;Mergus sp.;Неопределен нирец;Unidentified Merganser;2239;
551;Phalacrocorax sp.;Неопределен корморан;Unidentified Cormorant;849;
552;Podiceps sp.;Неопределен гмурец;Unidentified Grebe;129;
553;Acrocephalus sp.;Неопределено шаварче;Unidentified Acrocephalus;12549;
554;Anas sp.;Неопределена патица;Unidentified Duck;1949;
555;Circus sp.;Неопределен блатар;Unidentified Harrier;2649;
556;Falco sp.;Неопределен сокол;Unidentified Falcon;3219;
557;Gavia sp.;Неопределен гмуркач;Unidentified Diver;59;
558;Sterna sp.;Неопределена рибарка;Unidentified Tern;6259;
559;Motacilla sp.;Неопределена стърчиопашка;Unidentified Wagtail;10239;
560;Pelecanus sp.;Неопределен пеликан;Unidentified Pelican;919;
561;Phylloscopus sp.;Неопределен певец;Unidentified Warbler;13129;
562;Dendrocopos sp.;Неопределен кълвач;Unidentified Woodpecker;8979;
563;Turdus sp.;Неопределен дрозд;Unidentified trush;12069;
564;Accipiter sp.;Неопределен ястреб;Unidentified Hawk;2749;
565;Aquila sp.;Неопределен орел;Unidentified Eagle;2979;
566;Ciconia sp.;Неопределен щъркел;Unidentified Stork;1349;
567;Corvus sp.;Неопределен гарван;Unidentified Corvid;15749;
568;Milvus sp.;Неопределена каня;Unidentified Kite;2399;
569;Larus cachinnans;Каспийска чайка;Caspian gull;;
570;Alectoris sp.;Неопределен кеклик;Chukar/Rock Partridge;;
571;Anas carolinensis;Каролинско зимно бърне;Green-winged teal;;
572;Anser serrirostis;Тундрова посевна гъска; Tundra Bean Goose;;
573;Anthus novaeseelandiae;Дългоопашата бъбрица;Australasian Pipit ;;
574;Anthus petrosus;Скална бъбрица;Rock Pipit;;
575;Aquila adalberti;Испански орел;Spanish Imperial Eagle;;
576;Butorides virescens;;;;
577;Carpospiza brachydactyla;;;;
578;Cygnus bewickii;Тундров лебед;Tundra Swan;;
579;Galerida malabarica;;;;
580;Iduna caligata;Малък присмехулник;Booted warbler;;
581;Larus armenicus;Арменска чайка;Armenian Gull ;;
582;Larus michahellis;Жълтокрака чайка;Yellow-legged Gull;;
583;Morus bassanus;Бял рибояд;Northern Gannet;;
584;Motacilla finere;;;;
585;Muscicapa daurrica;;;;
586;Oenanthe cypriaca;;;;
587;Phalacrocorax pygmaeus;Малък корморан;Pygmy Cormorant;;
588;Phalaropus fulicarius;Плоскоклюн листоног;Red Phalarope;;
589;Phoenicurus torquata;;;;
590;Phylloscopus orientalis;Източен планински певец;Eastern Bonelli’s Warbler;;
591;Phylloscopus lorenzii;;;;
592;Phylloscopus spp.;Неопределени певци;Unidentified phylloscopus;;
593;Picoides tridactylus;Трипръст кълвач;Three-toed Woodpecker;;
594;Porzana spp.;Неопределена пъструшка;Unidentified Crake;;
595;Puffinus mauretanicus;;;;
596;Puffinus yelkouan;Средиземноморски буревестник;Yelkouan Shearwater;;
597;Pyrrhula murina;;;;
598;Regulus teneriffae;;;;
599;Saxicola maurus;Сибирско ливадарче;Siberian Stonechat;;
600;Anatinae;Патицоподобни;Ducks;;
601;Calidris sp.;Неопределен брегобегач;;;
602;Charadrii sp.;Неопределен дъждосвирец;;;
603;Galinago sp.;;;;
604;Gallinago sp.;Неопределена бекасина;Unidentified Snipe;;
605;L.mich./cach.;Жълтокрака/Каспийска чайка;Yellow legged/Caspian Gull;;
606;Tringa sp.;Неопределен водобегач;Unidentified Shank;;
607;Anser sp.;Неопределена гъска;Unidentified goose;;
608;Anthus sp.;Неопределена бъбрица;Unidentified Pipit;;
609;Apus sp.;Неопределен бързолет;Unidentified Swift;;
610;Buteo sp.;Неопределен мишелов;Unidentified Buzzard;;
611;Falconidae sp.;;;;
612;Anas spp.;Неопределени патици;;;
613;Columba spp.;Неопределен гълъб;Unidentified pigeon;;
614;Cygnus spp.;;;;
615;Dendrocopos spp.;;;;
616;Emberiza spp.;Неопределена овесарка;Unidentified Bunting;;
617;Motacilla spp.;;;;
618;Numenius spp.;Неопределен свирец;Unidentified Curlew;;
619;Pelecanus spp.;;;;
620;Sterna spp.;;;;
621;Tringa spp.;;;;
622;Accipitriformes/Falconiformes;Неопределена граблива птица (НГП);Unidentified raptor (UnR);;
623;Anseriformes/Podicipediformes etc.;Неопределена водолюбива птица (НВП);Unidentified water birds (UnWB);;
624;Charadriiformes;Неопределен дъждосвирец (НД);Unidentified wader (UnW);;
625;Columbiformes;Неопределен гълъб (НГБ);Unidentified pigeon (UnP);;
626;Passeriformes;Неопределена пойна птица (НПП);Unidentified passerine (UnP);;
627;Ciconiiformes;Неопределена щъркелоподобна птица (НЩП);Unidentified storks and herons (UnSH);;
628;Pelecaniformes;Неопределени пеликани и корморани (НПК);Unidentified pelicans and cormorants (UnPE);;
