id;type;la;bg;en
2439;herptiles;Ablepharus kitaibelii;Късокрак гущер;European Copper Skink
2440;herptiles;Anguis fragilis;Слепок;Slow Worm
2441;herptiles;Bombina variegata;Жълтокоремна бумка;Yellow–bellied Toad
2442;herptiles;Bombina bombina;Червенокоремна бумка;European Fire-bellied Toad
2443;herptiles;Anguis colchica;Източен слепок;Slow Worm
2444;herptiles;Darevskia praticola;Горски гущер;Meadow Lizard
2445;herptiles;Eurotestudo hermanni;Шипоопашата костенурка;Hermann‘s Tortoise
2446;herptiles;Lacerta agilis bosnica;Ливаден гущер;Sand Lizard
2447;herptiles;Lissotriton vulgaris;Обикновен тритон;Smooth Newt
2448;herptiles;Natrix natrix natrix;Обикновена водна змия;Grass Snake
2449;herptiles;Pelobates syriacus;Сирийска (балканска) чесновница;Eastern Spadefoot
2450;herptiles;Podarcis erhardii;Македонски гущер;Erhard's Wall Lizard
2451;herptiles;Rana temporaria;Планинска жаба;Common Frog
2452;herptiles;Bufo bufo;Кафява крастава жаба;Common Toad
2453;herptiles;Dolichophis caspius;Голям стрелец;Large Whip Snake
2454;herptiles;Emys orbicularis;Обикновена блатна костенурка;European Pond Turtle
2455;herptiles;Ichthyosaura alpestris;Алпийски тритон;Alpine Newt
2456;herptiles;Lacerta viridis;Зелен гущер;Green Lizard
2457;herptiles;Mediodactylus kotschyi;Балкански гекон;Kotschy’s Gecko
2458;herptiles;Caretta caretta;Карета;Loggerhead Turtle
2459;herptiles;Natrix natrix persa;Обикновена (ивичеста) водна змия;Grass Snake
2460;herptiles;Lissotriton graecus;Влакноопашато тритонче;Greek Newt
2461;herptiles;Coronella austriaca;Медянка;Smooth Snake
2462;herptiles;Natrix tessellata;Сива водна змия;Dice Snake
2463;herptiles;Telescopus fallax;Котешка змия;Cat Snake
2464;mammals;Crocidura suaveolens;Малка белозъбка;Lesser White-toothed Shrew
2465;mammals;Ondatra zibethicus;Ондатра;Muskrat
2466;mammals;Lynx lynx;Рис;European Lynx
2467;mammals;Myotis capaccinii;Дългопръст нощник;Long-fingered Bat
2468;herptiles;Typhlops vermicularis;Змия червейница;Worm Snake
2469;mammals;Glis glis;Обикновен (голям) сънливец;Fat Dormouse
2470;mammals;Arvicola terrestris;Водна полевка (плъх);Water Vole
2471;mammals;Rhinolophus blasii;Подковонос на Блази;Blasius' Horseshoe Bat
2472;herptiles;Podarcis tauricus;Кримски гущер;Balkan Wall Lizard
2473;mammals;Talpa europea;Къртица;Europen Mole
2474;mammals;Microtus arvalis;Обикновена полевка;Common Vole
2475;mammals;Mustela nivalis;Невестулка;Weasel
2476;mammals;Myotis natteri;Нощник на Натерер;Natterer's Bat
2477;herptiles;Testudo graeca;Шипобедрена костенурка;Spur-thighed Tortoise
2478;mammals;Suncus etruscus;Етруска земеровка;Pygmy White-toothed Shrew
2479;mammals;Mus macedonicus;Източносредиземноморска домашна мишка;Balkan Short-taile Mouse
2480;mammals;Vormela peregusna;Пъстър пор;Marbled Polecat
2481;mammals;Myotis aurascens;Южен мустакат нощник;Golden Bat
2482;herptiles;Triturus dobrogicus;Дунавски гребенест тритон;Northern Crested Newt
2483;mammals;Sciurus vulgaris;Катерица;Red Squirrel
2484;mammals;Cricetulus migratоrius;Сиво хомяче;Grey Hamster
2485;mammals;Felis silvestris;Дива котка;Wildcat
2486;mammals;Myotis dasycneme;Езерен нощник;Pond Bat
2487;mammals;Barabastella barabastellus;Широкоух прилеп;Barbastelle
2488;mammals;Pipistrellus nathusii;Прилепче на Натузий;Nathusius' Pipistrelle
2489;herptiles;Elaphe quatuorlineata;Ивичест смок (кощерица);Four-lined Snake
2490;herptiles;Pelophylax kl. esculentus;Зелена водна жаба;Edible Frog
2491;herptiles;Natrix natrix;Обикновена водна змия;Grass Snake
2492;herptiles;Elaphe sauromates;Пъстър смок;Blotched Snake
2493;herptiles;Pelophylax ridibundus;Голяма водна жаба;Marsh Frog
2494;herptiles;Triturus ivanbureschi;Южен гребенест тритон;Danube Crested Newt
2495;mammals;Spermophilus citellus;Лалугер;European Souslik
2496;mammals;Microtus hartingi;Полевка на Хартинг;Harting's Vole
2497;mammals;Cervus elaphus;Благороден елен;Red Deer
2498;herptiles;Podarcis muralis;Стенен гущер;Common Wall Lizard
2499;herptiles;Vipera berus;Усойница;Adder
2500;mammals;Sylvaemus flavicollis;Жълтогърла горска мишка;Yellow-necked Mouse
2501;mammals;Canis aureus;Чакал;Golden Jackal
2502;mammals;Martes foina;Бялка;Stone Marten
2503;mammals;Myotis bechsteinii;Нощник на Бехщайн;Bechsten's Bat
2504;herptiles;Salamandra salamandra;Дъждовник;Fire Salamander
2505;mammals;Neomys fodiens;Голяма водна земеровка;Water Shrew
2506;mammals;Mesocricetus newtoni;Добруджански хомяк;Romanian Hamster
2507;mammals;Vulpes vulpes;Лисица;Red Fox
2508;mammals;Rhinolophus euryale;Южен подковонос;Mediteranean Horseshoe Bat
2509;mammals;Eptisicus serotinus;Полунощен прилеп;Serotine
2510;mammals;Sorex minutus;Малка кафявозъбка;Pygmy Shrew
2511;mammals;Clethrionomys glareolus;Ръждива горска полевка;Bank Vole
2512;mammals;Delphinus delphis;Обикновен делфин;Common Dolphin
2513;mammals;Myotis alcathoe;Алкатоев нощник;Alcathoe's Bat
2514;herptiles;Vipera ammodytes ammodytes;Червеноопашата пепелянка;Nose-horned Viper
2515;mammals;Myomimus roachi;Мишевиден сънливец;Roach's Mouse-tailed Dormouse
2516;mammals;Microtus levis;Източноевропейска полевка;Sibling Vole
2517;mammals;Sus scrofa;Дива свиня;Wild Boar
2518;mammals;Nyctalus noctula;Ръждив вечерник;Noctule
2519;mammals;Vesperilio murinus;Двуцветен прилеп;Particoloured Bat
2520;herptiles;Eryx jaculus;Пясъчна (турска) боа;Sand Boa
2521;herptiles;Chelonia mydas;Зелена морска костенурка;Green Turtle
2522;herptiles;Pelobates fuscus;Обикновена чесновница;Common Spadefoot
2523;herptiles;Hyla arborea;Жаба дървесница;European Tree Frog
2524;herptiles;Ophisops elegans;Змиеок гущер;Snake-eyed lizard
2525;herptiles;Vipera ammodytes montandoni;Зеленоопашата пепелянка;Nose-horned Viper
2526;mammals;Micromys minutus;Оризищна мишка;Harvest Mouse
2527;mammals;Myocastor coypus;Нутрия;Coypu
2528;mammals;Rhinolophus ferrumequinum;Голям подковонос;Greater Horseshoe Bat
2529;herptiles;Rana graeca;Гръцка жаба;Balkan Stream Frog
2530;mammals;Erinaceus roumanicus;Белогръд таралеж;Eastern Hedgehog
2531;mammals;Rattus norvegicus;Сив плъх;Brown rat
2532;mammals;Capreolus capreolus;Сърна;European Roe Deer
2533;mammals;Nyctalus leisleri;Малък вечерник;Leisler's Bat
2534;herptiles;Vipera ursinii;Остромуцунеста усойница;Meadow Viper
2535;mammals;Sylvaemus sylvaticus;Обикновена горска мишка;Wood Mouse
2536;mammals;Phocoena phocoena;Морска свиня (Муткур);Porpoise
2537;mammals;Plecotus auritus;Кафяв дългоух прилеп;Grey Long-eared Bat
2538;herptiles;Vipera aspis;Аспида (каменарка);Asp viper
2539;mammals;Sylvaemus epimelas;Скална мишка;Western Rock Mouse
2540;mammals;Rattus rattus;Черен плъх;Black Rat
2541;mammals;Martes martes;Златка;Pine Marten
2542;mammals;Myotis blythii;Остроух нощник;Lesser Mouse-eared Bat
2543;mammals;Miniopterus schrebersii;Пещерен дългокрил;Shreiber's Bat
2544;mammals;Crocidura leucodon;Голяма (белокоремна) белозъбка;Bicoloured White-toothed Shrew
2545;mammals;Mus musculus domesticus;Домашна мишка;House Mouse
2546;mammals;Mustela putorius;Черен пор;European Polecat
2547;mammals;Myotis mystacinus;Мустакат нощник;Whiskered Bat
2548;mammals;Tadarida teniotis;Булдогов прилеп;European Free-tailed Bat
2549;mammals;Eptisicus nilssonii;Северен прилеп;Northern Bat
2550;herptiles;Lacerta agilis chersonensis;Ливаден гущер;Sand Lizard
2551;herptiles;Epidalea viridis;Зелена крастава жаба;European Green Toad
2552;herptiles;Platyceps najadum;Тънък стрелец (стрелушка);Dahl’s Whip Snake
2553;herptiles;Lacerta trilineata;Ивичест гущер;Balkan Green Lizard
2554;herptiles;Platyceps collaris;Черноврата стрелушка;Reddish Whip Snake
2555;herptiles;Zamenis situla;Леопардов смок;Leopard Snake
2556;mammals;Apodemus agrarius;Полска мишка;Striped Field Mouse
2557;mammals;Ursus arctos;Кафява мечка;Brown Bear
2558;mammals;Rhinolophus mehelyi;Подковонос на Мехели;Mehely's Horseshoe Bat
2559;herptiles;Trachemys scripta;Червенобуза костенурка;Red-eared Slider
2560;mammals;Neomys anomalus;Малка водна земеровка;Miller's Water shrew
2561;mammals;Cricetus cricetus;Голям хомяк;Common Hamster
2562;mammals;Tursiops truncatus;Афала;Bottle-nosed Dolphin
2563;mammals;Plecotus austriacus;Сив дългоух прилеп;Brown Long-eared Bat
2564;herptiles;Vipera ammodytes;Пепелянка;Nose-horned Viper
2565;mammals;Muscardinus avellanarius;Лешников сънливец;Hezel Dormouse
2566;mammals;Mus musculus musculus;Домашна мишка;House Mouse
2567;mammals;Sicista subtilis;Скачаща степна мишка;Southern Birch Mouse
2568;mammals;Rupicapra rupicapra;Дива коза;Alpine Chamois
2569;mammals;Pipistrellus pipistrellus;Кафяво прилепче;Common Pipistrelle
2570;herptiles;Zootoca vivipara;Живороден гущер;Viviparous Lizard
2571;mammals;Microtus subterraneus;Подземна полевка;Common Pine Vole
2572;mammals;Dama dama;Елен лопатар;Fallow Deer
2573;mammals;Nyctalus lasiopterus;Голям вечерник;Greater Noctule
2574;herptiles;Zamenis longissimus;Смок мишкар;Aesculapian Snake
2575;mammals;Sylvaemus uralensis;Малка горска мишка;Pygmy Field Mouse
2576;mammals;Spalax leucodon;Сляпо куче;Lesser Mole-rat
2577;mammals;Ovis gmelinii;Муфлон;Mouflon
2578;mammals;Hypsugo savii;Прилепче на Сави;Savi's Pipistrelle
2579;herptiles;Malpolon insignitus;Вдлъбнаточел смок;Eastern Montpellier Snake
2580;herptiles;Lacerta agilis;Ливаден гущер;Sand Lizard
2581;herptiles;Rana dalmatina;Горска жаба;Agile Frog
2582;herptiles;Mauremys rivulata;Каспийска блатна костенурка;Balkan Terrapin
2583;herptiles;Pseudopus apodus;Жълтокоремник (змиегущер);Scheltopusik
2584;mammals;Sorex araneus;Обикновена кафявозъбка;Common Shrew
2585;mammals;Mus spicilegus;Степна домашна мишка;Steppe Mouse
2586;mammals;Mustela eversmani;Степен пор;Steppe Polecat
2587;mammals;Myotis emarginatus;Трицветен нощник;Geoffroy's Bat
2588;mammals;Lepus europeus;Див заек;European Hare
2589;mammals;Chinomys nivalis;Снежна полевка;Show Vole
2590;mammals;Meles meles;Язовец;Badger
2591;mammals;Myotis brandtii;Нощник на Брандт;Brandt's bat
2592;herptiles;Triturus cristatus;Северен гребенест тритон;Macedonian Crested Newt
2593;mammals;Oryctolagus cuniculus;Заек подземник;Rabbit
2594;mammals;Lutra lutra;Видра;Eurasian Otter
2595;mammals;Myotis daubentonii;Воден нощник;Daubenton's Bat
2596;herptiles;Triturus macedonicus;Македонски гребенест тритон;Balkan Crested Newt
2597;mammals;Dryomys nitedula;Горски сънливец;Forest Dormouse
2598;mammals;Canis lupus;Вълк;Wolf
2599;mammals;Rhinolophus hipposideros;Малък подковонос;Lesser Horseshoe Bat
2600;mammals;Pipistrellus kuhlii;Средиземноморско прилепче;Kuhl's Pipistrelle
2601;mammals;Talpa levantis;Черноморска къртица;Levantine Mole
2602;mammals;Nyctereutes procenoides;Енотовидно куче;Raccoon Dog
2603;mammals;Myotis myotis;Голям нощник;Greater Mouse-eared Bat
2604;mammals;Pipistrellus pygmaeus;Малко кафяво прилепче;Soprano Pipistrelle
2605;mammals;Sylvaemus sp.;Неопределени горски мишки;Unidentified Wood Mouse
2606;mammals;Mus sp.;Неопределени домашни мишки;Unidentified House Mouse
2607;mammals;Crocidura sp.;Неопределена белозъбка;Unidentified White-toothed Shrew
2608;herptiles;Rana arvalis;;Moor Frog
2609;herptiles;Iberolacerta horvathi;;Horvath's Rock Lizard
2610;herptiles;Lacerta bilineata;;Western Green Lizard
2611;herptiles;Epidalea calamita;;Natterjack Toad
